Station,Category,Zone,LineCount,TotPlatforms,WeekdayEnEx,SaturdayEnEx,SundayEnEx,TotalEnExCount,Year
Canary Wharf,Destination,2,1,2,88381,66715,44773,18.29,2021
Canons Park,Local,5,1,2,7628,5050,3146,2.38,2013
Canons Park,Local,5,1,2,8422,5334,3205,2.6,2014
Canons Park,Local,5,1,2,8949,5690,3831,2.79,2015
Canons Park,Local,5,1,2,9362,6305,3882,2.93,2016
Canons Park,Local,5,1,2,9677,9677,4644,2.92,2017
Canons Park,Local,5,1,2,9756,6591,4667,2.89,2018
Canons Park,Local,5,1,2,9958,6504,4578,2.98,2019
Canons Park,Local,5,1,2,3158,1582,1089,1.5,2020
Canons Park,Local,5,1,2,5965,4932,3062,1.25,2021
Charing Cross,Destination,1,2,4,56670,47818,30685,18.63,2013
Charing Cross,Destination,1,2,4,63332,58725,37714,21.3,2014
Charing Cross,Destination,1,2,4,63665,54277,29842,20.69,2015
Charing Cross,Destination,1,2,4,23744,23370,15324,8.13,2016
Charing Cross,Destination,1,2,4,60211,60211,28936,18.48,2017
Charing Cross,Destination,1,2,4,62054,50277,33124,18.9,2018
Charing Cross,Destination,1,2,4,63113,53912,32272,19.48,2019
Charing Cross,Destination,1,2,4,6708,4757,3409,3.4,2020
Charing Cross,Destination,1,2,4,31209,38030,22620,7.15,2021
Clapham Common,Metro,2,1,2,27131,22937,14943,8.94,2013
Clapham Common,Metro,2,1,2,26664,24312,15731,8.94,2014
Clapham Common,Metro,2,1,2,30318,25995,17795,10.07,2015
Clapham Common,Metro,2,1,2,29954,27055,17934,10.04,2016
Clapham Common,Metro,2,1,2,31521,31521,18584,9.93,2017
Clapham Common,Metro,2,1,2,31086,30241,18984,9.71,2018
Clapham Common,Metro,2,1,2,30568,29238,18357,9.64,2019
Clapham Common,Metro,2,1,2,8642,6827,5085,4.5,2020
Clapham Common,Metro,2,1,2,21289,22315,13958,4.71,2021
Cockfosters,Metro,5,1,4,5707,5492,4071,1.97,2013
Cockfosters,Metro,5,1,4,5631,5131,4299,1.95,2014
Cockfosters,Metro,5,1,4,5488,5009,3367,1.85,2015
Cockfosters,Metro,5,1,4,5820,5810,4500,2.04,2016
Cockfosters,Metro,5,1,4,5654,5654,3625,1.83,2017
Cockfosters,Metro,5,1,4,5653,5242,3841,1.78,2018
Cockfosters,Metro,5,1,4,5816,5473,3688,1.86,2019
Cockfosters,Metro,5,1,4,1742,1236,930,0.89,2020
Cockfosters,Metro,5,1,4,3564,4161,3360,0.84,2021
Covent Garden,Metro,1,1,2,56621,76302,48687,21.17,2013
Covent Garden,Metro,1,1,2,40924,57416,34632,15.38,2014
Covent Garden,Metro,1,1,2,39438,53885,32024,14.67,2015
Covent Garden,Metro,1,1,2,45339,64605,39976,17.19,2016
Covent Garden,Metro,1,1,2,47254,47254,38161,16.52,2017
Covent Garden,Metro,1,1,2,47486,55005,40846,15.76,2018
Covent Garden,Metro,1,1,2,47857,67322,41733,16.55,2019
Covent Garden,Metro,1,1,2,2833,3246,2376,1.62,2020
Covent Garden,Metro,1,1,2,30410,46209,28550,7.48,2021
Ealing Broadway,Local,3,2,9,53102,35071,23420,16.64,2013
Ealing Broadway,Local,3,2,9,55254,36555,25424,17.38,2014
Ealing Broadway,Local,3,2,9,53568,35340,24572,16.84,2015
Ealing Broadway,Local,3,2,9,58393,41542,28325,18.6,2016
Ealing Broadway,Local,3,2,9,52992,52992,25101,15.95,2017
Ealing Broadway,Local,3,2,9,53609,34842,25739,15.82,2018
Ealing Broadway,Local,3,2,9,53389,36474,25795,16.09,2019
Ealing Broadway,Local,3,2,9,16022,8723,5990,7.72,2020
Ealing Broadway,Local,3,2,9,32537,27831,19468,6.93,2021
East Ham,Local,4,2,2,42193,30727,22188,13.58,2013
East Ham,Local,4,2,2,45956,33942,24145,14.82,2014
East Ham,Local,4,2,2,47355,34665,22219,15.09,2015
East Ham,Local,4,2,2,45983,32701,23944,14.75,2016
East Ham,Local,4,2,2,45754,45754,23812,13.94,2017
East Ham,Local,4,2,2,43997,31400,22523,13.25,2018
East Ham,Local,4,2,2,42896,29350,21767,13.01,2019
East Ham,Local,4,2,2,17755,9760,5769,8.49,2020
